"Order"	"PID"	"Parcel.ID"	"MS.SubClass"	"MS.Zoning"	"Lot.Frontage"	"Lot.Area"	"Street"	"Alley"	"Lot.Shape"	"Land.Contour"	"Utilities"	"Lot.Config"	"Land.Slope"	"Neighborhood"	"Condition.1"	"Condition.2"	"Bldg.Type"	"House.Style"	"Overall.Qual"	"Overall.Cond"	"Year.Built"	"Year.Remod.Add"	"Roof.Style"	"Roof.Matl"	"Exterior.1st"	"Exterior.2nd"	"Mas.Vnr.Type"	"Mas.Vnr.Area"	"Exter.Qual"	"Exter.Cond"	"Foundation"	"Bsmt.Qual"	"Bsmt.Cond"	"Bsmt.Exposure"	"BsmtFin.Type.1"	"BsmtFin.SF.1"	"BsmtFin.Type.2"	"BsmtFin.SF.2"	"Bsmt.Unf.SF"	"Total.Bsmt.SF"	"Heating"	"Heating.QC"	"Central.Air"	"Electrical"	"X1st.Flr.SF"	"X2nd.Flr.SF"	"Low.Qual.Fin.SF"	"Gr.Liv.Area"	"Bsmt.Full.Bath"	"Bsmt.Half.Bath"	"Full.Bath"	"Half.Bath"	"Bedroom.AbvGr"	"Kitchen.AbvGr"	"Kitchen.Qual"	"TotRms.AbvGrd"	"Functional"	"Fireplaces"	"Fireplace.Qu"	"Garage.Type"	"Garage.Yr.Blt"	"Garage.Finish"	"Garage.Cars"	"Garage.Area"	"Garage.Qual"	"Garage.Cond"	"Paved.Drive"	"Wood.Deck.SF"	"Open.Porch.SF"	"Enclosed.Porch"	"X3Ssn.Porch"	"Screen.Porch"	"Pool.Area"	"Pool.QC"	"Fence"	"Misc.Feature"	"Misc.Val"	"Mo.Sold"	"Yr.Sold"	"Sale.Type"	"Sale.Condition"	"SalePrice"
66	528386040	528386040	50	"RL"	56	14720	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"CulDSac"	"Gtl"	"NoRidge"	"Norm"	"Norm"	"1Fam"	"1.5Fin"	8	5	1995	1996	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	579	"Gd"	"TA"	"PConc"	"Gd"	"TA"	"Av"	"GLQ"	816	"Unf"	0	1217	2033	"GasA"	"Ex"	"Y"	"SBrkr"	2053	1185	0	3238	1	0	2	1	4	1	"Gd"	9	"Typ"	1	"Ex"	"Attchd"	1996	"Fin"	3	666	"TA"	"TA"	"Y"	283	86	0	0	0	0	NA	NA	NA	0	3	2010	"WD "	"Normal"	410000
254	906402200	906402200	60	"RL"	90	12376	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"SawyerW"	"Norm"	"Norm"	"1Fam"	"2Story"	7	5	1990	1990	"Hip"	"CompShg"	"Plywood"	"Plywood"	"None"	0	"TA"	"TA"	"PConc"	"Gd"	"TA"	"Mn"	"GLQ"	1470	"Unf"	0	203	1673	"GasA"	"Gd"	"Y"	"SBrkr"	1699	1523	0	3222	1	0	3	0	5	1	"Gd"	11	"Typ"	2	"TA"	"Attchd"	1990	"Unf"	3	594	"TA"	"TA"	"Y"	367	0	0	0	0	0	NA	NA	NA	0	5	2010	"WD "	"Normal"	320000
2215	909276160	909276160	70	"RL"	78	12168	"Pave"	NA	"Reg"	"HLS"	"AllPub"	"Inside"	"Mod"	"Crawfor"	"Norm"	"Norm"	"1Fam"	"2Story"	8	6	1934	1998	"Gable"	"CompShg"	"BrkFace"	"Wd Sdng"	"None"	0	"TA"	"TA"	"PConc"	"Gd"	"TA"	"Mn"	"BLQ"	428	"Unf"	0	537	965	"GasA"	"TA"	"Y"	"SBrkr"	1940	1254	0	3194	0	0	2	1	4	1	"TA"	10	"Typ"	2	"Gd"	"Basment"	1934	"Unf"	2	380	"TA"	"TA"	"Y"	0	0	0	0	0	0	NA	NA	NA	0	9	2007	"WD "	"Alloca"	359100
1183	533350090	533350090	60	"RL"	NA	24572	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"CulDSac"	"Gtl"	"Veenker"	"Norm"	"Norm"	"1Fam"	"2Story"	9	3	1977	1977	"Mansard"	"CompShg"	"Wd Sdng"	"Wd Sdng"	"BrkFace"	1050	"Gd"	"Gd"	"CBlock"	"Gd"	"TA"	"No"	"GLQ"	410	"Unf"	0	584	994	"GasA"	"TA"	"Y"	"SBrkr"	1599	1345	0	2944	0	0	2	2	3	1	"Gd"	9	"Typ"	1	"Gd"	"Attchd"	1977	"RFn"	3	864	"TA"	"TA"	"Y"	140	70	16	0	0	0	NA	NA	NA	0	6	2008	"WD "	"Family"	150000
1573	916325080	916325080	20	"RL"	NA	15498	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"Timber"	"Norm"	"Norm"	"1Fam"	"1Story"	8	6	1976	1976	"Hip"	"WdShake"	"Stone"	"HdBoard"	"None"	0	"Gd"	"TA"	"CBlock"	"Gd"	"TA"	"Av"	"ALQ"	1165	"LwQ"	400	0	1565	"GasA"	"TA"	"Y"	"SBrkr"	2898	0	0	2898	1	0	2	0	2	1	"Gd"	10	"Typ"	1	"Gd"	"Attchd"	1976	"Fin"	2	665	"TA"	"TA"	"Y"	0	72	174	0	0	0	NA	NA	NA	0	5	2008	"COD"	"Abnorml"	287000
1023	527325070	527325070	60	"RL"	NA	12227	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"NWAmes"	"PosN"	"Norm"	"1Fam"	"2Story"	6	7	1977	1995	"Gable"	"CompShg"	"HdBoard"	"HdBoard"	"BrkFace"	424	"TA"	"Gd"	"CBlock"	"Gd"	"Gd"	"No"	"ALQ"	896	"Unf"	0	434	1330	"GasA"	"TA"	"Y"	"SBrkr"	1542	1330	0	2872	1	0	2	1	4	1	"TA"	11	"Typ"	1	"TA"	"Attchd"	1977	"Fin"	2	619	"TA"	"TA"	"Y"	550	282	0	0	0	0	NA	NA	NA	0	7	2008	"WD "	"Normal"	272000
2447	528327010	528327010	60	"RL"	NA	9233	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NoRidge"	"Norm"	"Norm"	"1Fam"	"2Story"	9	5	2000	2000	"Gable"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	877	"Gd"	"TA"	"PConc"	"Ex"	"TA"	"Av"	"GLQ"	1182	"Unf"	0	358	1540	"GasA"	"Ex"	"Y"	"SBrkr"	1540	1315	0	2855	1	0	2	1	4	1	"Ex"	9	"Typ"	1	"TA"	"Attchd"	2000	"RFn"	3	774	"TA"	"TA"	"Y"	247	55	0	0	0	0	NA	NA	NA	0	3	2006	"WD "	"Normal"	405000
1059	528118030	528118030	60	"RL"	108	13418	"Pave"	NA	"Reg"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"NridgHt"	"Norm"	"Norm"	"1Fam"	"2Story"	9	5	2006	2006	"Hip"	"CompShg"	"VinylSd"	"VinylSd"	"BrkFace"	270	"Gd"	"TA"	"PConc"	"Ex"	"TA"	"Gd"	"GLQ"	1420	"Unf"	0	430	1850	"GasA"	"Ex"	"Y"	"SBrkr"	1850	898	0	2748	1	0	2	1	4	1	"Ex"	9	"Typ"	1	"Gd"	"BuiltIn"	2006	"Fin"	3	850	"TA"	"TA"	"Y"	212	182	0	0	0	0	NA	NA	NA	0	10	2008	"WD "	"Abnorml"	390000
2093	906201200	906201200	60	"RL"	86	10380	"Pave"	NA	"IR1"	"Lvl"	"AllPub"	"Inside"	"Gtl"	"SawyerW"	"Norm"	"Norm"	"1Fam"	"2Story"	7	5	1986	1987	"Gable"	"CompShg"	"Plywood"	"Plywood"	"BrkFace"	172	"Gd"	"TA"	"CBlock"	"TA"	"TA"	"Gd"	"LwQ"	28	"ALQ"	1474	0	1502	"GasA"	"Ex"	"Y"	"SBrkr"	1553	1177	0	2730	1	0	2	1	4	1	"Gd"	8	"Typ"	1	"TA"	"Attchd"	1987	"Fin"	2	576	"TA"	"TA"	"Y"	201	96	0	0	0	0	NA	"MnPrv"	NA	0	8	2007	"WD "	"Normal"	301000
717	902326030	902326030	70	"RM"	65	11700	"Pave"	"Pave"	"IR1"	"Lvl"	"AllPub"	"Corner"	"Gtl"	"OldTown"	"Norm"	"Norm"	"1Fam"	"2Story"	7	7	1880	2003	"Mansard"	"CompShg"	"Stucco"	"Stucco"	"None"	0	"Gd"	"TA"	"Stone"	"TA"	"Fa"	"No"	"Unf"	0	"Unf"	0	1240	1240	"GasW"	"TA"	"N"	"SBrkr"	1320	1320	0	2640	0	0	1	1	4	1	"Gd"	8	"Typ"	1	"Gd"	"Detchd"	1950	"Unf"	4	864	"TA"	"TA"	"N"	181	0	386	0	0	0	NA	NA	NA	0	5	2009	"WD "	"Normal"	265979
