Player	position	Team	conference	salary
"Stephen Curry, PG"	PG	GoldenStateWarriors	western	34.38255
"LeBron James, SF"	SF	ClevelandCavaliers	eastern	33.285709
"Paul Millsap, PF"	PF	DenverNuggets	western	31.269231
"Gordon Hayward, SF"	SF	BostonCeltics	eastern	29.7279
"Blake Griffin, PF"	PF	LAClippers	western	29.5129
"Kyle Lowry, PG"	PG	TorontoRaptors	eastern	28.703704
"Mike Conley, PG"	PG	MemphisGrizzlies	western	28.530608
"Russell Westbrook, PG"	PG	OklahomaCityThunder	western	28.530608
"James Harden, SG"	SG	HoustonRockets	western	28.299399
"DeMar DeRozan, SG"	SG	TorontoRaptors	eastern	27.739975
"Al Horford, C"	C	BostonCeltics	eastern	27.734406
"Carmelo Anthony, SF"	SF	NewYorkKnicks	eastern	26.24376
"Damian Lillard, PG"	PG	PortlandTrailBlazers	western	26.153057
"Jrue Holiday, PG"	PG	NewOrleansPelicans	western	25.686667
"Kevin Durant, SF"	SF	GoldenStateWarriors	western	25
"Otto Porter Jr., SF"	SF	WashingtonWizards	eastern	24.77325
"Chris Paul, PG"	PG	HoustonRockets	western	24.599495
"CJ McCollum, SG"	SG	PortlandTrailBlazers	western	23.962573
"Dwyane Wade, SG"	SG	ChicagoBulls	eastern	23.8
"Bradley Beal, SG"	SG	WashingtonWizards	eastern	23.775506
"Anthony Davis, PF"	PF	NewOrleansPelicans	western	23.775506
"Dwight Howard, C"	C	CharlotteHornets	eastern	23.5
"Chandler Parsons, SF"	SF	MemphisGrizzlies	western	23.112004
"Harrison Barnes, SF"	SF	DallasMavericks	western	23.112004
"JJ Redick, SG"	SG	Philadelphia76ers	eastern	23
"Brook Lopez, C"	C	LosAngelesLakers	western	22.64265
"Marc Gasol, C"	C	MemphisGrizzlies	western	22.64235
"DeAndre Jordan, C"	C	LAClippers	western	22.64235
"Kevin Love, PF"	PF	ClevelandCavaliers	eastern	22.64235
"Steven Adams, C"	C	OklahomaCityThunder	western	22.47191
"Giannis Antetokounmpo, SF"	SF	MilwaukeeBucks	eastern	22.47191
"Nicolas Batum, SG"	SG	CharlotteHornets	eastern	22.434783
"Rudy Gobert, C"	C	UtahJazz	western	21.924719
"LaMarcus Aldridge, PF"	PF	SanAntonioSpurs	western	21.46101
"Victor Oladipo, SG"	SG	IndianaPacers	eastern	21
"Danilo Gallinari, SF"	SF	LAClippers	western	20.559599
"Serge Ibaka, PF"	PF	TorontoRaptors	eastern	20.061729
"George Hill, PG"	PG	SacramentoKings	western	20
"Ryan Anderson, PF"	PF	HoustonRockets	western	19.578455
"Paul George, SF"	SF	OklahomaCityThunder	western	19.508958
"Allen Crabbe, SG"	SG	PortlandTrailBlazers	western	19.3325
"Jimmy Butler, SG"	SG	MinnesotaTimberwolves	western	19.30107
"Jeff Teague, PG"	PG	MinnesotaTimberwolves	western	19
"Kawhi Leonard, SF"	SF	SanAntonioSpurs	western	18.868626
"Kyrie Irving, PG"	PG	ClevelandCavaliers	eastern	18.868626
"John Wall, PG"	PG	WashingtonWizards	eastern	18.06385
"DeMarcus Cousins, C"	C	NewOrleansPelicans	western	18.06385
"Enes Kanter, C"	C	OklahomaCityThunder	western	17.884176
"Greg Monroe, C"	C	MilwaukeeBucks	eastern	17.884176
"Wesley Matthews, SG"	SG	DallasMavericks	western	17.884176
"Klay Thompson, SG"	SG	GoldenStateWarriors	western	17.82615
"Joakim Noah, C"	C	NewYorkKnicks	eastern	17.765
"Kentavious Caldwell-Pope, SG"	SG	LosAngelesLakers	western	17.745894
"Luol Deng, SF"	SF	LosAngelesLakers	western	17.19
"Evan Turner, SG"	SG	PortlandTrailBlazers	western	17.131148
"Goran Dragic, PG"	PG	MiamiHeat	eastern	17.00045
"Bismack Biyombo, C"	C	OrlandoMagic	eastern	17
"Evan Fournier, SG"	SG	OrlandoMagic	eastern	17
"Kent Bazemore, SF"	SF	AtlantaHawks	eastern	16.910113
"Tim Hardaway Jr., SG"	SG	NewYorkKnicks	eastern	16.5
"Draymond Green, PF"	PF	GoldenStateWarriors	western	16.4
"Tristan Thompson, C"	C	ClevelandCavaliers	eastern	16.4
"Reggie Jackson, PG"	PG	DetroitPistons	eastern	16
"Tobias Harris, SF"	SF	DetroitPistons	eastern	16
"Dennis Schroder, PG"	PG	AtlantaHawks	eastern	15.5
"Jonas Valanciunas, C"	C	TorontoRaptors	eastern	15.460675
"Tony Parker, PG"	PG	SanAntonioSpurs	western	15.453126
"Timofey Mozgov, C"	C	BrooklynNets	eastern	15.28
"Thaddeus Young, PF"	PF	IndianaPacers	eastern	14.996348
"Andre Iguodala, SF"	SF	GoldenStateWarriors	western	14.814815
"DeMarre Carroll, SF"	SF	BrooklynNets	eastern	14.8
"Eric Bledsoe, PG"	PG	PhoenixSuns	western	14.5
"Ricky Rubio, PG"	PG	UtahJazz	western	14.275
"Joe Ingles, SF"	SF	UtahJazz	western	14.136364
"Gorgui Dieng, PF"	PF	MinnesotaTimberwolves	western	14.11236
"Khris Middleton, SG"	SG	MilwaukeeBucks	eastern	14.1
"Taj Gibson, PF"	PF	MinnesotaTimberwolves	western	14
"Robin Lopez, C"	C	ChicagoBulls	eastern	13.7885
"JR Smith, SG"	SG	ClevelandCavaliers	eastern	13.76
"James Johnson, PF"	PF	MiamiHeat	eastern	13.734
"Brandon Knight, PG"	PG	PhoenixSuns	western	13.61875
