"Time" "Age"
16.18 13
17.15 34
18.8 14
19.02 27
19.07 49
19.38 25
19.6 43
19.68 13
20 14
20.02 14
20.48 13
20.55 15
20.7 47
20.82 33
21 54
21.15 14
21.18 11
21.2 47
21.35 14
21.38 60
21.47 43
21.58 13
21.63 21
21.65 12
21.97 59
22.23 52
22.27 14
22.35 44
22.58 42
22.68 32
22.7 51
22.9 11
22.92 53
22.93 40
23.18 14
23.23 11
23.35 49
23.67 38
23.72 22
23.83 13
23.92 51
23.98 23
24 18
24.07 15
24.42 20
24.47 40
24.67 9
24.67 10
24.78 16
24.9 60
25.02 43
25.07 41
25.12 69
25.15 22
25.33 55
25.45 51
25.48 46
25.53 21
25.8 57
25.87 20
25.9 56
25.98 45
26.4 11
26.45 40
26.67 54
26.75 15
26.8 46
26.92 12
27 56
27 56
27 13
27.03 45
27.17 40
27.22 54
27.22 45
27.25 46
27.48 63
27.5 34
27.52 23
27.53 24
27.58 25
27.6 37
27.62 41
27.68 39
27.73 52
27.83 46
27.95 44
27.97 51
28.08 46
28.32 64
28.47 51
28.52 49
28.52 10
28.57 9
28.73 57
28.73 27
28.75 36
28.9 9
29.28 52
29.47 42
29.53 39
29.65 21
29.67 21
29.67 21
29.78 40
29.87 49
29.93 50
30.25 49
30.3 41
30.32 34
30.32 47
30.45 13
30.47 43
30.48 19
30.57 30
30.67 39
30.7 36
30.72 33
30.73 23
31.1 14
31.1 16
31.33 50
31.33 54
31.38 48
31.45 14
31.48 13
31.52 54
31.57 39
31.57 32
31.6 62
31.65 45
31.8 41
31.87 62
31.9 8
31.92 43
31.93 34
31.98 55
32 44
32.22 57
32.27 65
32.33 49
32.45 15
32.5 67
32.5 57
32.73 40
33.1 59
33.25 53
33.3 38
33.53 27
33.55 51
33.58 59
33.58 50
33.58 47
33.65 17
33.65 49
33.68 41
33.7 38
33.95 54
33.98 46
33.98 49
34.07 46
34.15 28
34.15 57
34.17 30
34.42 40
34.43 63
34.45 40
34.57 26
34.87 30
35.02 15
35.05 28
35.37 52
35.4 38
35.67 20
35.92 40
36.07 62
36.13 15
36.18 53
36.18 48
36.7 40
36.77 15
36.93 63
37.1 43
37.23 19
37.28 29
37.97 33
38.2 18
38.22 18
38.47 51
38.62 43
38.68 53
38.7 37
38.83 53
38.83 12
38.9 30
38.95 37
38.98 29
39.43 51
39.52 27
39.55 52
39.57 77
39.95 16
40.15 14
40.25 43
40.37 56
40.37 55
40.53 54
40.88 64
40.9 65
41.38 64
41.38 48
41.4 54
41.57 56
42.18 46
42.33 38
42.35 16
43.48 65
43.52 47
43.53 43
44.43 41
44.43 54
44.57 76
44.82 51
44.85 37
45.92 16
45.92 16
45.98 18
46.37 39
46.37 54
46.37 55
46.4 57
47.18 41
48 30
48 42
48.02 31
48.77 69
50.32 56
50.32 51
50.33 39
52.33 74
53.6 36
53.6 42
54.52 38
54.72 32
54.72 34
57.95 80
58.98 53
