memorized	treatment
10	shortconcrete
9	shortconcrete
5	longconcrete
8	longconcrete
10	longconcrete
8	shortabstract
5	shortabstract
9	longabstract
9	longabstract
7	shortconcrete
9	shortconcrete
5	longconcrete
8	longconcrete
6	shortabstract
8	shortabstract
6	longabstract
7	longabstract
8	shortconcrete
10	shortconcrete
9	longconcrete
7	longconcrete
9	shortabstract
8	shortabstract
4	longabstract
7	longabstract
10	shortconcrete
8	shortconcrete
8	longconcrete
9	longconcrete
9	shortabstract
8	shortabstract
6	longabstract
7	longabstract
6	shortconcrete
9	shortconcrete
8	longconcrete
8	longconcrete
5	shortabstract
8	shortabstract
6	longabstract
7	longabstract
9	longabstract
9	shortconcrete
10	shortconcrete
9	longconcrete
10	longconcrete
9	shortabstract
6	shortabstract
6	longabstract
9	longabstract
6	shortabstract
9	shortconcrete
