Price	Taxes	Bath	Lot_Size	Floor_Size	Garage	Rooms	Bedrooms	Age	FP											
88.50	5.02	1.00	3.53	1.50	2.00	7.00	4.00	62.00	0.00											
83.70	4.54	1.00	2.28	1.18	1.00	6.00	3.00	40.00	0.00											
77.70	4.56	1.00	4.05	1.23	1.00	6.00	3.00	54.00	0.00											
89.70	5.06	1.00	4.46	1.12	1.00	6.00	3.00	42.00	0.00											
89.70	3.89	1.00	4.46	0.99	1.00	6.00	3.00	56.00	0.00											
92.70	5.90	1.00	5.85	1.24	1.00	7.00	3.00	51.00	1.00											
86.70	5.60	1.00	9.52	1.50	0.00	6.00	3.00	32.00	0.00											
107.70	5.83	1.00	6.44	1.23	2.00	6.00	3.00	32.00	0.00											
94.50	5.30	1.00	4.99	1.55	1.00	6.00	3.00	30.00	0.00											
93.00	6.27	1.00	5.52	0.98	1.00	5.00	2.00	30.00	0.00											
92.70	5.96	1.00	6.67	1.12	2.00	6.00	3.00	32.00	0.00											
90.00	5.05	1.00	5.00	1.02	0.00	5.00	2.00	46.00	1.00											
125.70	6.70	1.50	6.90	1.49	1.50	7.00	3.00	22.00	1.00											
121.50	7.78	1.50	7.10	1.38	1.00	6.00	3.00	17.00	0.00											
131.70	9.04	1.00	7.80	1.50	1.50	7.00	3.00	23.00	0.00											
112.50	5.99	1.00	5.52	1.26	2.00	6.00	3.00	40.00	1.00											
113.70	7.54	1.50	5.00	1.69	1.00	6.00	3.00	22.00	0.00											
133.50	8.80	1.50	9.89	1.82	2.00	8.00	4.00	50.00	1.00											
113.70	6.08	1.50	6.73	1.65	1.00	6.00	3.00	44.00	0.00											
116.70	8.36	1.50	9.15	1.78	2.00	8.00	4.00	48.00	1.00											
110.70	8.14	1.00	8.00	1.50	2.00	7.00	3.00	3.00	0.00											
137.40	9.14	1.50	7.33	1.83	1.50	8.00	4.00	31.00	0.00											
77.70	4.92	1.00	3.47	1.00	1.00	7.00	4.00	42.00	0.00											
