x1	y1	x2	y2	x3	y3	x4	y4
39.6	32.11034353	10	-152.6654574	18.77537273	220.5628393	0.187753727	-3.584161538
23.2	26.47530787	19	-403.3704138	24.2495729	-138.4686438	0.242495729	-3.266835017
24.8	33.59967529	138	134.7122658	148.8459585	528.37984	1.488459585	-1.042643483
27.2	14.76943636	246	-1897.621992	253.7405354	1604.614303	2.537405354	-0.778642893
27.4	20.17312607	295	883.3639559	303.3881366	1946.165321	3.033881366	-0.638300924
45.2	67.26162233	359	-11.78430203	370.1474052	1977.892104	3.701474052	-1.526923612
30.8	53.38947029	304	894.0243066	311.1062703	1508.853932	3.111062703	-0.593801672
28.6	20.92793238	54	144.3008244	58.68704375	535.4078013	0.586870437	-1.487141428
37.2	1.734611478	21	53.36294752	38.42116305	507.4338977	0.384211631	-2.399867284
41.8	23.47700358	279	795.5301474	284.0823543	1328.013305	2.840823543	-0.784397061
47.6	56.35494141	234	593.6577504	247.9714937	1208.178566	2.479714937	-0.238273714
14	14.40225944	142	-1543.344342	149.8812579	452.7821692	1.498812579	-0.429574801
49	55.27384462	145	393.6665032	152.3803908	807.0430699	1.523803908	-1.224845137
49.2	53.0388382	207	144.9731742	208.2212983	1061.325201	2.082212983	-0.398978201
12	9.728203919	95	-1078.225103	107.8062182	689.6446897	1.078062182	-0.882028699
49.4	22.28074155	26	70.9288343	40.24966619	118.6318829	0.402496662	-2.154441887
21.2	19.32164182	376	1112.904936	392.5317703	1510.619657	3.925317703	-1.312221472
45	107.4660216	35	-90.34552094	45.9082677	289.3547957	0.459082677	-1.761529899
27.6	23.3053534	97	-726.7102165	100.7426194	776.754317	1.007426194	-1.071206413
33.8	75.90582631	353	822.4798829	367.1718804	2242.306084	3.671718804	-1.416190173
26.4	20.67696886	358	1045.338271	375.3194469	1841.105182	3.753194469	-1.132149795
39.4	71.8747933	376	1040.221802	387.9397041	2026.938801	3.879397041	-1.348222031
15.2	13.02493252	81	131.1963403	96.84821231	117.4748608	0.968482123	-0.743000329
38.6	6.454446413	26	-1683.316674	26.98546026	-179.7530447	0.269854603	-3.177504704
23.4	23.03971755	262	489.979563	271.3978809	1325.907449	2.713978809	-0.872610692
33.2	34.74830423	304	718.7889403	318.5725931	1900.961648	3.185725931	-0.56641017
21.4	32.96417602	357	1061.574997	364.2136177	1600.92516	3.642136177	-0.631563545
35	35.11060259	146	-2333.178415	152.8254833	600.3720207	1.528254833	-0.670113129
43.4	121.2369205	354	1058.156429	374.833603	2017.23408	3.74833603	-0.598710115
22	0.969593806	300	-1495.97461	307.1802561	1485.370058	3.071802561	-0.569581205
12.4	13.01092891	397	1184.834277	404.463335	2427.134167	4.04463335	-1.379481532
16	14.74866905	148	-973.4891789	165.1056859	936.8845191	1.651056859	-0.435707973
19	29.68697968	193	-567.9519133	212.4484614	736.1104126	2.124484614	-0.299466457
19.4	18.21043359	343	870.741799	348.4216592	1439.964082	3.484216592	-0.734126417
17.6	26.12129993	387	-1071.931749	403.1534699	1958.852158	4.031534699	-1.120677481
44.2	46.76598563	320	956.3949517	334.2650041	1665.591079	3.342650041	-0.458327408
12	8.410421867	205	553.2504101	220.2558633	1098.223929	2.202558633	-0.319751582
18.6	24.19889844	200	383.3169814	214.6107752	1288.644666	2.146107752	-0.826475528
19.8	24.20982882	255	324.7551673	263.2789568	1395.933087	2.632789568	-1.186491026
45	-5.744480588	281	820.1156213	286.2661613	1340.823273	2.862661613	-0.832210375
18.4	15.55102226	227	603.9194243	234.6713938	1677.682014	2.346713938	-0.517115286
17.8	22.39483722	162	211.3059447	158.1151197	1189.481135	1.581151197	-0.224466942
39.8	86.00131004	71	64.35300125	76.09566793	655.7438856	0.760956679	-0.975624521
42.2	-13.19383563	186	-416.3491498	189.2835949	955.3726906	1.892835949	-0.5702571
14.6	17.77714193	260	307.2154398	274.3132282	1604.082304	2.743132282	-0.904707136
21.4	11.13210617	349	884.1847727	354.7930564	2037.969042	3.547930564	-1.14673627
21	13.41710855	217	479.8418415	224.914491	1751.416178	2.24914491	-0.251917825
13	12.30572355	166	486.9763025	170.9547175	760.6963981	1.709547175	-0.948865899
35.8	21.47828456	292	786.6282166	307.5826074	1373.082032	3.075826074	-0.744160156
18.6	13.73979622	393	305.1507854	394.1110368	2206.097645	3.941110368	-1.035372162
15.4	21.04124908	92	-90.81619186	106.6877957	887.3755619	1.066877957	-0.732700969
23.2	12.31857659	199	590.1032487	199.5211625	1011.500671	1.995211625	-0.790477562
30.6	3.633694934	364	-157.8171087	370.5010499	1126.250499	3.705010499	-0.811701506
18.4	19.12636215	270	803.9367957	279.7465765	1277.619112	2.797465765	-0.656180287
16.6	19.5779903	349	971.0251697	368.1536798	1860.316537	3.681536798	-1.563225464
16.2	18.07642273	304	712.842776	315.4625911	1486.811864	3.154625911	-1.027332157
17.8	30.23083929	361	985.2019652	373.417526	2070.492208	3.73417526	-0.725513506
16.8	20.08113164	44	124.8355697	54.09805432	-42.6543312	0.540980543	-2.350574147
41.8	63.94547529	380	1022.899136	395.6981109	1930.507194	3.956981109	-1.227067929
22	40.69214914	229	592.2209998	240.0467573	1278.725895	2.400467573	-0.213748449
40	6.355806128	335	800.667426	344.6079064	1806.31503	3.446079064	-1.01187728
44.6	84.28826875	300	579.8278977	312.9601945	1851.309049	3.129601945	-0.963488806
20	30.86430426	212	528.5350388	226.7150052	1706.550622	2.267150052	-0.573688888
31.4	46.68682854	50	-2634.270063	61.71608545	789.2575995	0.617160855	-1.624756758
31	-5.222596463	268	597.4814319	273.107945	1503.930476	2.73107945	-0.743840894
32.4	1.425473666	194	548.8810224	199.3197639	496.2628719	1.993197639	-0.495388652
15.4	4.304819128	57	-227.5841961	67.43038549	488.7691367	0.674303855	-1.698093744
20.2	2.040004361	232	683.0749078	239.1835066	1447.670355	2.391835066	-0.632997156
26.2	9.782771852	345	704.278345	353.0477126	1713.178502	3.530477126	-1.20336925
29.8	44.31973931	241	681.3091179	250.01345	1254.565612	2.5001345	-0.606173594
18	21.55460158	242	9.406525366	261.8760197	894.182235	2.618760197	-0.141081649
12	10.48513133	357	1066.22997	359.6434073	1495.78889	3.596434073	-0.841287802
40.2	68.59057853	53	-1954.68716	68.92004433	451.2869427	0.689200443	-1.801336137
43	76.61614769	146	-528.4177329	157.6135585	658.3540939	1.576135585	-0.684989469
